Sequentially;;;Concurent;;;
Number.;time;;Number.;number of processes;time;speedup
1;0,803726;;1;1;0,861288;0,961980662
2;0,806386;;2;2;0,44414;1,865498266
3;0,794532;;3;3;0,292795;2,829769634
4;0,835093;;4;4;0,232074;3,570164689
5;0,902975;;5;5;0,181329;4,569276839
average:;0,828542;;6;6;0,135336;6,12211385
;;;7;7;0,246054;3,367319369
;;;8;8;0,244666;3,386422306
;;;9;9;0,25737;3,219265649
;;;10;10;0,25628;3,232957703
